cnt,gx,gy,gz,ax,ay,az
3938,-420,-1090,-996,-625,537,16316
3939,256,-742,-304,-714,488,16306
3940,366,-258,-822,-721,496,16214
3941,210,-478,-938,-984,514,16393
3942,470,712,-1480,-321,-167,16653
3943,876,-640,-268,-600,-114,16769
3944,1880,204,-614,-493,82,16770
3945,2116,-408,-442,-437,287,16496
3946,2442,64,-764,-581,619,16302
3947,1902,574,-512,-735,595,15705
3948,874,-882,-1042,-485,600,15634
3949,188,-490,-534,-433,661,15754
3950,-228,-328,-258,-329,690,16052
3951,-442,-836,-592,-371,682,16136
3952,-906,-4,-464,-570,766,16121
3953,-894,-408,-442,-801,517,15974
3954,-1098,-1080,124,-783,318,15811
3955,-1266,-710,-580,-491,386,15976
3956,-996,-560,-742,-576,486,16623
3957,-534,-1056,-592,-760,386,17105
3958,606,-672,-246,-1035,322,17172
3959,1698,470,296,-1177,292,16677
3960,2024,-940,88,-1080,397,16186
3961,1856,-98,146,-904,695,15687
3962,1190,-906,88,-804,1149,15472
3963,434,100,-800,-585,1356,15545
3964,290,376,100,-735,1107,15705
3965,492,596,-176,-807,926,15889
3966,704,214,-26,-942,802,15897
3967,458,-62,-834,-939,701,15876
3968,448,18,-500,-914,807,15452
3969,6,-132,-4,-842,1137,15197
3970,-94,-628,-258,-734,1272,15094
3971,-536,-802,-684,-832,1044,15250
3972,-1096,-812,-592,-809,968,15642
3973,-1976,308,342,-993,851,16133
3974,-1404,376,-754,-1039,599,16225
3975,-1130,54,-512,-993,562,16096
3976,-376,726,-800,-906,573,15954
3977,764,192,470,-971,364,15874
3978,674,-374,8,-924,216,15854
3979,436,-270,124,-803,465,15860
3980,200,330,-120,-724,432,15867
3981,120,-536,618,-581,471,15700
3982,322,504,66,-568,800,15520
3983,110,-1160,-26,-743,816,15406
3984,302,-664,-234,-916,553,15466
3985,42,-778,238,-923,511,15571
3986,-4,-628,-176,-686,899,15851
3987,332,-976,134,-689,879,16008
3988,560,-986,54,-678,787,15964
3989,674,-1230,-200,-560,875,16046
3990,1146,-568,226,-712,722,16090
3991,1180,-316,-4,-693,565,15951
3992,1384,264,342,-613,782,15706
3993,1056,30,-4,-504,929,15560
3994,706,-40,284,-380,1015,15406
3995,302,-1100,20,-293,1163,15581
3996,20,-420,238,-531,987,16012
3997,188,42,-16,-652,813,16227
3998,502,-40,-754,-550,872,16245
3999,526,-86,330,-600,1038,16175
4000,854,-202,630,-490,880,15963
4001,898,492,446,-319,860,15745
4002,492,-178,-408,-428,902,15666
4003,414,134,42,-566,1089,15727
